"","Type","Command","Container","mtime"
"pl_VarScan2Somatic","pipeline","mpileupT+mpileupN+somatic+processSomatic+somaticFilter",NA,2021-05-20 12:15:10
"pl_vcf_index","pipeline","bgzip+index",NA,2021-05-20 12:15:10
"pl_vcfCoverage","pipeline","decompose+readcount+readcount_annotator_snv+readcount_annotator_indel",NA,2021-05-20 12:15:10
"pl_vcfExpression","pipeline","kallistoQuant+cleanExp+vcfExpAnn+T2Gene+vcfgExpAnn+bgzip+tabixIndex",NA,2021-05-20 12:15:10
"tl_annovar","tool","table_annovar.pl","bioinfochrustrasbourg/annovar",2021-05-20 12:15:10
"tl_ApplyBQSR","tool","gatk ApplyBQSR","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_awk_merge","tool","awk",NA,2021-05-20 12:15:10
"tl_bam_readcount","tool","/usr/bin/python /usr/bin/bam_readcount_helper.py","mgibio/bam_readcount_helper-cwl:1.1.1",2021-05-20 12:15:10
"tl_bamCoverage","tool","bamCoverage","quay.io/biocontainers/deeptools:3.4.3--py_0",2021-05-20 12:15:10
"tl_BaseRecalibrator","tool","gatk BaseRecalibrator","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_bcftools_concat","tool","bcftools concat","quay.io/biocontainers/bcftools:1.13--h3a49de5_0",2021-07-22 08:51:26
"tl_bcftools_norm","tool","bcftools norm","quay.io/biocontainers/bcftools:1.13--h3a49de5_0",2021-07-22 08:52:21
"tl_bcftools_query","tool","bcftools query","quay.io/biocontainers/bcftools:1.13--h3a49de5_0",2021-07-22 08:52:41
"tl_bcftools_reheader","tool","bcftools reheader","quay.io/biocontainers/bcftools:1.13--h3a49de5_0",2021-07-22 08:52:59
"tl_bcftools_sort","tool","bcftools sort","quay.io/biocontainers/bcftools:1.13--h3a49de5_0",2021-07-22 08:53:11
"tl_bcftools_view","tool","bcftools view","quay.io/biocontainers/bcftools:1.13--h3a49de5_0",2021-07-22 08:53:24
"tl_bcfview","tool","bcftools view","biocontainers/bcftools:v1.5_cv3",2021-05-20 12:15:10
"tl_BedToIntervalList","tool","picard BedToIntervalList","quay.io/biocontainers/picard:2.21.1--0",2021-05-20 12:15:10
"tl_bedtools_genomecov","tool","bedtools genomecov","quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0",2021-05-20 12:15:10
"tl_bgzip","tool","bgzip -c","biocontainers/tabix:v1.3.2-2-deb_cv1",2021-05-20 12:15:10
"tl_bigWigToWig","tool","bigWigToWig","biowardrobe2/ucscuserapps:v358_2",2021-05-20 12:15:10
"tl_blastn","tool","blastn","biocontainers/blast:v2.2.31_cv2",2021-05-20 12:15:10
"tl_bowtie_build","tool","bowtie-build","biocontainers/bowtie:v1.2.2dfsg-4-deb_cv1",2021-05-20 12:15:10
"tl_bowtie2_build","tool","bowtie2-build","biocontainers/bowtie2:v2.2.9_cv2",2021-05-20 12:15:10
"tl_bowtie2","tool","bowtie2","biocontainers/bowtie2:v2.2.9_cv2",2021-05-20 12:15:10
"tl_bwa_index","tool","bwa index","biocontainers/bwa:v0.7.17-3-deb_cv1",2021-05-20 12:15:10
"tl_bwa","tool","bwa mem","biocontainers/bwa:v0.7.17-3-deb_cv1",2021-05-20 12:15:10
"tl_CalculateContamination","tool","gatk CalculateContamination","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_Cat","tool","cat",NA,2021-05-20 12:15:10
"tl_cnv_facets","tool","cnv_facets.R","hubentu/facets",2021-05-20 12:15:10
"tl_cnvkit_batch","tool","cnvkit.py batch","etal/cnvkit",2021-05-20 12:15:11
"tl_CollectInsertSizeMetrics","tool","picard CollectInsertSizeMetrics","quay.io/biocontainers/picard:2.21.1--0",2021-05-20 12:15:10
"tl_ColSeqArtifact","tool","gatk CollectSequencingArtifactMetrics","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_CombineGVCFs","tool","gatk CombineGVCFs","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_CombineVariants","tool","java -jar /usr/GenomeAnalysisTK.jar -T CombineVariants","broadinstitute/gatk3:3.8-1",2021-05-20 12:15:10
"tl_convert2bed","tool","convert2bed","quay.io/biocontainers/bedops:2.4.39--h7d875b9_1",2021-07-07 10:35:12
"tl_CREST","tool","/opt/CREST/CREST.sh","hubentu/crest",2021-05-20 12:15:10
"tl_cutadapt","tool","cutadapt","kfdrc/cutadapt",2021-07-28 09:43:48
"tl_deepvariant","tool","/opt/deepvariant/bin/run_deepvariant","google/deepvariant",2021-05-20 12:15:11
"tl_delly_call","tool","delly call","quay.io/biocontainers/delly:0.8.7--he03298f_1",2021-05-20 12:15:11
"tl_delly_filter","tool","delly filter","quay.io/biocontainers/delly:0.8.7--he03298f_1",2021-05-20 12:15:11
"tl_DepthOfCoverage","tool","java -jar /usr/GenomeAnalysisTK.jar -T DepthOfCoverage","broadinstitute/gatk3:3.8-1",2021-05-20 12:15:10
"tl_DropletUtils","tool","R function",NA,2021-05-20 12:15:10
"tl_echo","tool","echo",NA,2021-05-20 12:15:11
"tl_fastqc","tool","fastqc","hubentu/rcwl-rnaseq",2021-05-20 12:15:11
"tl_featureCounts","tool","featureCounts","hubentu/rcwl-rnaseq",2021-05-20 12:15:11
"tl_FilterMutectCalls","tool","gatk FilterMutectCalls","broadinstitute/gatk:latest",2021-07-22 13:47:50
"tl_FilterOBias","tool","gatk FilterByOrientationBias","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_fpaste","tool","paste",NA,2021-05-20 12:15:11
"tl_Funcotator","tool","gatk Funcotator","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_geneBody_coverage","tool","geneBody_coverage.py","hubentu/rcwl-rnaseq",2021-05-20 12:15:11
"tl_genePredToBed","tool","genePredToBed","hubentu/rcwl-rnaseq",2021-05-20 12:15:11
"tl_GenomicsDB","tool","gatk GenomicsDBImport","broadinstitute/gatk:latest",2021-07-22 10:02:02
"tl_GenotypeGVCFs","tool","gatk GenotypeGVCFs","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_GetPileupSummaries","tool","gatk GetPileupSummaries","broadinstitute/gatk:latest",2021-07-22 14:43:55
"tl_ggsashimi","tool","","guigolab/ggsashimi",2021-05-20 12:15:11
"tl_glnexus_cli","tool","/usr/local/bin/glnexus_cli","quay.io/mlin/glnexus:v1.3.1",2021-05-20 12:15:11
"tl_gtfToGenePred","tool","gtfToGenePred","hubentu/rcwl-rnaseq",2021-05-20 12:15:11
"tl_HaplotypeCaller","tool","gatk HaplotypeCaller","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_hisat2_align","tool","hisat2","biocontainers/hisat2:v2.0.5-1-deb_cv1",2021-05-20 12:15:11
"tl_hisat2_build","tool","hisat2-build","biocontainers/hisat2:v2.0.5-1-deb_cv1",2021-05-20 12:15:11
"tl_htseq","tool","htseq-count","genomicpariscentre/htseq",2021-05-20 12:15:11
"tl_kallisto_index","tool","kallisto index","zlskidmore/kallisto",2021-05-20 12:15:11
"tl_kallisto_quant","tool","kallisto quant","zlskidmore/kallisto",2021-05-20 12:15:11
"tl_lancet","tool","lancet","hubentu/lancet",2021-07-19 14:58:56
"tl_LearnReadOrientationModel","tool","gatk LearnReadOrientationModel","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_liftOver","tool","liftOver","biowardrobe2/ucscuserapps:v358_2",2021-05-20 12:15:11
"tl_lofreq_indelqual","tool","lofreq indelqual","quay.io/biocontainers/lofreq:2.1.5--py37h916d2e8_4",2021-07-07 10:35:12
"tl_lofreq_viterbi","tool","lofreq viterbi","quay.io/biocontainers/lofreq:2.1.5--py37h916d2e8_4",2021-05-20 12:15:11
"tl_LoFreq","tool","lofreq somatic","quay.io/biocontainers/lofreq:2.1.5--py37h916d2e8_4",2021-05-20 12:15:10
"tl_mageck_count","tool","mageck count","quay.io/biocontainers/mageck:0.5.9.4--py38hed8969a_0",2021-05-20 12:15:11
"tl_mageck_mle","tool","mageck mle","quay.io/biocontainers/mageck:0.5.9.4--py38hed8969a_0",2021-05-20 12:15:11
"tl_mageck_pathway","tool","mageck pathway","quay.io/biocontainers/mageck:0.5.9.4--py38hed8969a_0",2021-05-20 12:15:11
"tl_mageck_test","tool","mageck test","quay.io/biocontainers/mageck:0.5.9.4--py38hed8969a_0",2021-05-20 12:15:11
"tl_makeblastdb","tool","makeblastdb","biocontainers/blast:v2.2.31_cv2",2021-05-20 12:15:11
"tl_manta","tool","configManta.py","cmopipeline/strelka2_manta",2021-05-20 12:15:11
"tl_markdup","tool","picard MarkDuplicates","quay.io/biocontainers/picard:2.21.1--0",2021-05-20 12:15:11
"tl_mergeBam","tool","picard MergeSamFiles","quay.io/biocontainers/picard:2.21.1--0",2021-05-20 12:15:11
"tl_MergeVcf_MMS","tool","R function","hubentu/variantcombiner",2021-07-07 10:35:12
"tl_miRDeep2","tool","miRDeep2.pl","hubentu/mirdeep2",2021-05-20 12:15:11
"tl_miRMapper","tool","mapper.pl","hubentu/mirdeep2",2021-05-20 12:15:11
"tl_multiqc","tool","multiqc","hubentu/rcwl-rnaseq",2021-05-20 12:15:11
"tl_MuSE","tool","MuSE call","quay.io/biocontainers/muse:1.0.rc--h2e03b76_5",2021-07-21 11:57:34
"tl_MuSEv2","tool","MuSE call","quay.io/biocontainers/muse:1.0.rc--0",2021-07-21 13:56:32
"tl_Mutect2_gatk3","tool","java -jar /usr/GenomeAnalysisTK.jar -T MuTect2","broadinstitute/gatk3:3.8-1",2021-05-20 12:15:10
"tl_Mutect2","tool","gatk Mutect2","broadinstitute/gatk:latest",2021-07-22 15:42:35
"tl_mvOut","tool","R function",NA,2021-05-20 12:15:11
"tl_neusomatic_call","tool","python /opt/neusomatic/neusomatic/python/call.py","msahraeian/neusomatic",2021-05-20 12:15:11
"tl_neusomatic_postprocess","tool","python /opt/neusomatic/neusomatic/python/postprocess.py","msahraeian/neusomatic",2021-05-20 12:15:11
"tl_neusomatic_preprocess","tool","python /opt/neusomatic/neusomatic/python/preprocess.py","msahraeian/neusomatic",2021-05-20 12:15:11
"tl_octopus_somatic","tool","","dancooke/octopus",2021-07-30 09:49:34
"tl_polysolver","tool","bash /home/polysolver/scripts/shell_call_hla_type","sachet/polysolver:v4",2021-05-20 12:15:11
"tl_PoN","tool","gatk CreateSomaticPanelOfNormals","broadinstitute/gatk:latest",2021-05-20 12:15:10
"tl_pvacseq","tool","pvacseq run","griffithlab/pvactools",2021-05-20 12:15:11
"tl_read_distribution","tool","read_distribution.py","hubentu/rcwl-rnaseq",2021-05-20 12:15:11
"tl_ReadBackedPhasing","tool","java -jar /usr/GenomeAnalysisTK.jar -T ReadBackedPhasing","broadinstitute/gatk3:3.8-1",2021-05-20 12:15:10
"tl_RenameSampleInVcf","tool","picard RenameSampleInVcf","quay.io/biocontainers/picard:2.21.1--0",2021-05-20 12:15:10
"tl_ReorderSam","tool","picard ReorderSam","quay.io/biocontainers/picard:2.21.1--0",2021-05-20 12:15:10
"tl_rMATS_bam","tool","","xinglab/rmats",2021-05-20 12:15:11
"tl_rMATS_fq","tool","","xinglab/rmats",2021-05-20 12:15:11
"tl_rMATS","tool","rmats_bam.sh","hubentu/rmats",2021-05-20 12:15:11
"tl_Rsplit","tool","R function",NA,2021-05-20 12:15:10
"tl_runWDL","tool","java",NA,2021-05-20 12:15:11
"tl_salmon_index","tool","salmon index","combinelab/salmon",2021-05-20 12:15:11
"tl_salmon_quant","tool","salmon quant","combinelab/salmon",2021-05-20 12:15:11
"tl_sam2bam","tool","samtools view","biocontainers/samtools:v1.7.0_cv3",2021-05-20 12:15:11
"tl_SamToFastq","tool","picard SamToFastq","quay.io/biocontainers/picard:2.21.1--0",2021-05-20 12:15:10
"tl_samtools_depth","tool","samtools depth","biocontainers/samtools:v1.7.0_cv3",2021-05-20 12:15:11
"tl_samtools_flagstat","tool","samtools flagstat","biocontainers/samtools:v1.7.0_cv3",2021-05-20 12:15:11
"tl_samtools_index","tool","samtools index","quay.io/biocontainers/samtools:1.12--h9aed4be_1",2021-07-07 10:35:12
"tl_samtools_mpileup","tool","samtools mpileup","biocontainers/samtools:v1.7.0_cv3",2021-05-20 12:15:11
"tl_samtools_sort","tool","samtools sort","quay.io/biocontainers/samtools:1.12--h9aed4be_1",2021-05-20 12:15:11
"tl_samtools_stats","tool","samtools stats","biocontainers/samtools:v1.7.0_cv3",2021-05-20 12:15:11
"tl_samtools_view","tool","samtools view","quay.io/biocontainers/samtools:1.12--h9aed4be_1",2021-07-07 10:35:12
"tl_sigproSS","tool","python /usr/local/bin/spss.py","hubentu/sigpross",2021-07-07 10:35:12
"tl_somatic_combiner","tool","","hubentu/somatic_combiner",2021-07-20 11:22:07
"tl_SomaticSeq_Wrapper","tool","/opt/somaticseq/SomaticSeq.Wrapper.sh","lethalfang/somaticseq:2.7.2",2021-05-20 12:15:10
"tl_SomaticSniper","tool","/opt/somatic-sniper/build/bin/bam-somaticsniper","lethalfang/somaticsniper:1.0.5.0-2",2021-05-20 12:15:10
"tl_sortBam","tool","samtools sort","biocontainers/samtools:v1.7.0_cv3",2021-05-20 12:15:11
"tl_SortVcf","tool","java -jar /usr/picard/picard.jar SortVcf","broadinstitute/picard",2021-05-20 12:15:10
"tl_STAR","tool","STAR","quay.io/biocontainers/star:2.7.9a--h9ee0642_0",2021-07-23 10:52:21
"tl_starFusion","tool","/usr/local/src/STAR-Fusion/STAR-Fusion","trinityctat/ctatfusion",2021-05-20 12:15:11
"tl_STARindex","tool","STAR","quay.io/biocontainers/star:2.7.5a--0",2021-05-20 12:15:10
"tl_STARsolo","tool","STAR","quay.io/biocontainers/star:2.7.5a--0",2021-05-20 12:15:10
"tl_strelka","tool","configureStrelkaSomaticWorkflow.py","cmopipeline/strelka2_manta",2021-05-20 12:15:11
"tl_SUPPA_diffSplice","tool","python /opt/SUPPA/suppa.py diffSplice","hubentu/suppa",2021-05-20 12:15:10
"tl_SUPPA_generateEvents","tool","python /opt/SUPPA/suppa.py generateEvents","hubentu/suppa",2021-05-20 12:15:10
"tl_SUPPA_multipleFieldSelection","tool","python /opt/SUPPA/multipleFieldSelection.py","hubentu/suppa",2021-05-20 12:15:10
"tl_SUPPA_psiPerEvent","tool","python /opt/SUPPA/suppa.py psiPerEvent","hubentu/suppa",2021-05-20 12:15:10
"tl_svaba_somatic","tool","svaba run","quay.io/biocontainers/svaba:1.1.0--h7d7f7ad_2",2021-05-20 12:15:11
"tl_SVE_VP","tool","/software/SVE/scripts/variant_processor.py","timothyjamesbecker/sve",2021-05-20 12:15:10
"tl_SVE","tool","/software/SVE/scripts/auto.py","timothyjamesbecker/sve",2021-05-20 12:15:10
"tl_tabix_index","tool","tabix","biocontainers/tabix:v1.3.2-2-deb_cv1",2021-05-20 12:15:11
"tl_VarDict","tool","vardict-java","quay.io/biocontainers/vardict-java:1.8.2--hdfd78af_1",2021-05-20 12:15:10
"tl_VarScan2_processSomatic","tool","java -jar /opt/varscan/VarScan.jar processSomatic","mgibio/varscan-cwl:v2.4.2-samtools1.3.1",2021-05-20 12:15:10
"tl_VarScan2_somatic","tool","java -jar /opt/varscan/VarScan.jar somatic","mgibio/varscan-cwl:v2.4.2-samtools1.3.1",2021-05-20 12:15:10
"tl_VarScan2_somaticFilter","tool","java -jar /opt/varscan/VarScan.jar somaticFilter","mgibio/varscan-cwl:v2.4.2-samtools1.3.1",2021-05-20 12:15:10
"tl_VarScan2","tool","","serge2016/varscan:v0.1.1",2021-05-20 12:15:10
"tl_vcf_expression_annotator","tool","vcf-expression-annotator","griffithlab/vatools:3.1.0",2021-05-20 12:15:11
"tl_vcf_readcount_annotator","tool","vcf-readcount-annotator","griffithlab/vatools:3.1.0",2021-05-20 12:15:11
"tl_vcf2bed","tool","R function","hubentu/r-utils",2021-07-07 10:35:12
"tl_vep","tool","vep","hubentu/ensembl-vep-plugins",2021-05-20 12:15:11
"tl_vt_decompose","tool","vt decompose","hubentu/vt",2021-05-20 12:15:11
